time,q1,q2,q3,Ekin,Epot,Etot
0.000000,0.100000,0.005000,-0.005000,0.000000,0.000000,0.000000
0.000100,0.099971,0.005034,-0.004997,0.000563,0.455066,0.455629
0.000200,0.099886,0.005136,-0.004988,0.002250,0.453379,0.455628
0.000300,0.099743,0.005306,-0.004973,0.005047,0.450580,0.455627
0.000400,0.099543,0.005544,-0.004951,0.008936,0.446689,0.455625
0.000500,0.099287,0.005849,-0.004924,0.013890,0.441733,0.455623
0.000600,0.098974,0.006220,-0.004890,0.019875,0.435746,0.455621
0.000700,0.098606,0.006656,-0.004849,0.026849,0.428769,0.455618
0.000800,0.098182,0.007157,-0.004801,0.034764,0.420850,0.455614
0.000900,0.097703,0.007722,-0.004746,0.043567,0.412044,0.455610
0.001000,0.097170,0.008348,-0.004684,0.053196,0.402410,0.455606
0.001100,0.096584,0.009036,-0.004613,0.063588,0.392014,0.455602
0.001200,0.095945,0.009782,-0.004535,0.074670,0.380927,0.455597
0.001300,0.095254,0.010587,-0.004448,0.086370,0.369223,0.455592
0.001400,0.094512,0.011447,-0.004351,0.098607,0.356980,0.455587
0.001500,0.093720,0.012361,-0.004246,0.111302,0.344280,0.455582
0.001600,0.092879,0.013327,-0.004130,0.124370,0.331207,0.455577
0.001700,0.091990,0.014343,-0.004004,0.137726,0.317845,0.455571
0.001800,0.091054,0.015407,-0.003866,0.151284,0.304282,0.455566
0.001900,0.090073,0.016516,-0.003717,0.164956,0.290605,0.455560
0.002000,0.089047,0.017667,-0.003556,0.178656,0.276899,0.455555
0.002100,0.087979,0.018859,-0.003382,0.192299,0.263251,0.455550
0.002200,0.086868,0.020089,-0.003195,0.205801,0.249744,0.455545
0.002300,0.085718,0.021353,-0.002994,0.219080,0.236460,0.455540
0.002400,0.084529,0.022649,-0.002778,0.232059,0.223477,0.455535
0.002500,0.083302,0.023975,-0.002546,0.244661,0.210870,0.455531
0.002600,0.082040,0.025327,-0.002299,0.256817,0.198710,0.455527
