time,q1,q2,q3
0.000000,0.010000,0.005000,-0.005000
0.000100,0.009996,0.004999,-0.004996
0.000200,0.009985,0.004995,-0.004985
0.000300,0.009966,0.004989,-0.004966
0.000400,0.009940,0.004980,-0.004940
0.000500,0.009906,0.004969,-0.004906
0.000600,0.009865,0.004955,-0.004865
0.000700,0.009816,0.004939,-0.004817
0.000800,0.009760,0.004920,-0.004761
0.000900,0.009697,0.004899,-0.004698
0.001000,0.009626,0.004876,-0.004628
0.001100,0.009549,0.004850,-0.004550
0.001200,0.009464,0.004822,-0.004466
0.001300,0.009372,0.004791,-0.004375
0.001400,0.009273,0.004758,-0.004277
0.001500,0.009167,0.004723,-0.004172
0.001600,0.009054,0.004686,-0.004061
0.001700,0.008935,0.004646,-0.003943
0.001800,0.008809,0.004605,-0.003819
0.001900,0.008676,0.004561,-0.003689
0.002000,0.008537,0.004515,-0.003553
0.002100,0.008392,0.004467,-0.003411
0.002200,0.008240,0.004417,-0.003264
0.002300,0.008083,0.004365,-0.003111
0.002400,0.007919,0.004312,-0.002953
0.002500,0.007750,0.004256,-0.002789
0.002600,0.007575,0.004199,-0.002621
0.002700,0.007395,0.004140,-0.002448
0.002800,0.007209,0.004079,-0.002270
0.002900,0.007018,0.004017,-0.002088
0.003000,0.006822,0.003953,-0.001902
0.003100,0.006621,0.003887,-0.001712
0.003200,0.006416,0.003821,-0.001518
0.003300,0.006206,0.003752,-0.001321
0.003400,0.005992,0.003683,-0.001121
0.003500,0.005773,0.003612,-0.000918
0.003600,0.005551,0.003540,-0.000712
0.003700,0.005324,0.003467,-0.000503
0.003800,0.005094,0.003393,-0.000293
0.003900,0.004861,0.003318,-0.000080
0.004000,0.004625,0.003242,0.000135
0.004100,0.004385,0.003165,0.000350
0.004200,0.004143,0.003087,0.000568
0.004300,0.003898,0.003009,0.000786
0.004400,0.003651,0.002930,0.001005
0.004500,0.003401,0.002850,0.001224
0.004600,0.003150,0.002770,0.001444
0.004700,0.002896,0.002689,0.001663
0.004800,0.002641,0.002608,0.001882
0.004900,0.002385,0.002526,0.002101
0.005000,0.002128,0.002444,0.002319
0.005100,0.001870,0.002362,0.002535
0.005200,0.001611,0.002280,0.002750
0.005300,0.001352,0.002198,0.002964
0.005400,0.001092,0.002116,0.003176
0.005500,0.000832,0.002033,0.003386
0.005600,0.000573,0.001951,0.003593
0.005700,0.000314,0.001869,0.003798
0.005800,0.000055,0.001787,0.003999
0.005900,-0.000202,0.001706,0.004198
0.006000,-0.000459,0.001624,0.004393
0.006100,-0.000714,0.001543,0.004585
0.006200,-0.000968,0.001463,0.004773
0.006300,-0.001220,0.001382,0.004957
0.006400,-0.001470,0.001303,0.005136
0.006500,-0.001718,0.001224,0.005312
0.006600,-0.001964,0.001145,0.005482
0.006700,-0.002207,0.001067,0.005647
0.006800,-0.002447,0.000990,0.005808
0.006900,-0.002685,0.000913,0.005963
0.007000,-0.002919,0.000837,0.006112
0.007100,-0.003150,0.000762,0.006256
0.007200,-0.003377,0.000688,0.006394
0.007300,-0.003601,0.000614,0.006526
0.007400,-0.003821,0.000541,0.006651
0.007500,-0.004036,0.000470,0.006770
0.007600,-0.004248,0.000399,0.006883
0.007700,-0.004455,0.000329,0.006989
0.007800,-0.004657,0.000260,0.007088
0.007900,-0.004854,0.000192,0.007180
0.008000,-0.005047,0.000125,0.007265
0.008100,-0.005234,0.000059,0.007343
0.008200,-0.005416,-0.000007,0.007413
0.008300,-0.005593,-0.000071,0.007476
0.008400,-0.005764,-0.000134,0.007532
0.008500,-0.005930,-0.000196,0.007579
0.008600,-0.006089,-0.000257,0.007619
0.008700,-0.006243,-0.000317,0.007652
0.008800,-0.006390,-0.000376,0.007676
0.008900,-0.006531,-0.000434,0.007693
0.009000,-0.006666,-0.000491,0.007702
0.009100,-0.006795,-0.000547,0.007702
0.009200,-0.006917,-0.000602,0.007695
0.009300,-0.007032,-0.000656,0.007680
0.009400,-0.007141,-0.000709,0.007657
0.009500,-0.007242,-0.000761,0.007625
0.009600,-0.007337,-0.000812,0.007586
0.009700,-0.007425,-0.000862,0.007538
0.009800,-0.007506,-0.000911,0.007483
0.009900,-0.007580,-0.000959,0.007420
0.010000,-0.007647,-0.001007,0.007348
0.010100,-0.007706,-0.001053,0.007269
0.010200,-0.007759,-0.001099,0.007182
0.010300,-0.007804,-0.001144,0.007088
0.010400,-0.007842,-0.001188,0.006985
0.010500,-0.007872,-0.001231,0.006875
0.010600,-0.007896,-0.001274,0.006758
0.010700,-0.007912,-0.001316,0.006633
0.010800,-0.007920,-0.001357,0.006501
0.010900,-0.007922,-0.001397,0.006361
0.011000,-0.007916,-0.001437,0.006215
0.011100,-0.007903,-0.001477,0.006061
0.011200,-0.007883,-0.001515,0.005901
0.011300,-0.007856,-0.001554,0.005734
0.011400,-0.007821,-0.001592,0.005560
0.011500,-0.007780,-0.001629,0.005381
0.011600,-0.007732,-0.001666,0.005194
0.011700,-0.007676,-0.001702,0.005002
0.011800,-0.007614,-0.001738,0.004804
0.011900,-0.007545,-0.001774,0.004601
0.012000,-0.007469,-0.001810,0.004391
0.012100,-0.007387,-0.001845,0.004177
0.012200,-0.007299,-0.001880,0.003957
0.012300,-0.007204,-0.001915,0.003733
0.012400,-0.007102,-0.001949,0.003504
0.012500,-0.006995,-0.001984,0.003270
0.012600,-0.006881,-0.002018,0.003032
0.012700,-0.006762,-0.002052,0.002790
0.012800,-0.006637,-0.002086,0.002544
0.012900,-0.006506,-0.002120,0.002294
0.013000,-0.006370,-0.002155,0.002042
0.013100,-0.006228,-0.002189,0.001786
0.013200,-0.006082,-0.002223,0.001527
0.013300,-0.005930,-0.002257,0.001265
0.013400,-0.005773,-0.002291,0.001001
0.013500,-0.005612,-0.002326,0.000735
0.013600,-0.005447,-0.002360,0.000467
0.013700,-0.005277,-0.002395,0.000198
0.013800,-0.005103,-0.002429,-0.000073
0.013900,-0.004925,-0.002464,-0.000345
0.014000,-0.004744,-0.002499,-0.000619
0.014100,-0.004559,-0.002535,-0.000892
0.014200,-0.004370,-0.002570,-0.001166
0.014300,-0.004179,-0.002606,-0.001440
0.014400,-0.003984,-0.002642,-0.001714
0.014500,-0.003787,-0.002678,-0.001988
0.014600,-0.003588,-0.002714,-0.002261
0.014700,-0.003386,-0.002751,-0.002533
0.014800,-0.003183,-0.002787,-0.002804
0.014900,-0.002977,-0.002824,-0.003074
0.015000,-0.002770,-0.002861,-0.003341
0.015100,-0.002562,-0.002899,-0.003607
0.015200,-0.002352,-0.002936,-0.003871
0.015300,-0.002142,-0.002974,-0.004132
0.015400,-0.001931,-0.003012,-0.004391
0.015500,-0.001719,-0.003050,-0.004647
0.015600,-0.001507,-0.003088,-0.004900
0.015700,-0.001296,-0.003126,-0.005149
0.015800,-0.001084,-0.003164,-0.005395
0.015900,-0.000874,-0.003203,-0.005637
0.016000,-0.000663,-0.003241,-0.005874
0.016100,-0.000454,-0.003280,-0.006108
0.016200,-0.000246,-0.003318,-0.006337
0.016300,-0.000040,-0.003357,-0.006561
0.016400,0.000165,-0.003395,-0.006781
0.016500,0.000368,-0.003433,-0.006995
0.016600,0.000569,-0.003471,-0.007204
0.016700,0.000768,-0.003509,-0.007408
0.016800,0.000964,-0.003547,-0.007606
0.016900,0.001158,-0.003585,-0.007798
0.017000,0.001348,-0.003622,-0.007984
0.017100,0.001535,-0.003659,-0.008164
0.017200,0.001719,-0.003696,-0.008338
0.017300,0.001900,-0.003732,-0.008505
0.017400,0.002076,-0.003768,-0.008665
0.017500,0.002249,-0.003804,-0.008819
0.017600,0.002417,-0.003839,-0.008965
0.017700,0.002581,-0.003873,-0.009105
0.017800,0.002741,-0.003907,-0.009237
0.017900,0.002896,-0.003940,-0.009362
0.018000,0.003046,-0.003972,-0.009480
0.018100,0.003190,-0.004004,-0.009590
0.018200,0.003330,-0.004034,-0.009693
0.018300,0.003464,-0.004064,-0.009788
0.018400,0.003593,-0.004093,-0.009875
0.018500,0.003716,-0.004121,-0.009954
0.018600,0.003834,-0.004148,-0.010025
0.018700,0.003945,-0.004174,-0.010088
0.018800,0.004051,-0.004199,-0.010144
0.018900,0.004150,-0.004223,-0.010191
0.019000,0.004243,-0.004246,-0.010230
0.019100,0.004329,-0.004267,-0.010261
0.019200,0.004409,-0.004287,-0.010284
0.019300,0.004483,-0.004306,-0.010299
0.019400,0.004550,-0.004323,-0.010305
0.019500,0.004610,-0.004339,-0.010303
0.019600,0.004663,-0.004353,-0.010294
0.019700,0.004710,-0.004366,-0.010276
0.019800,0.004749,-0.004377,-0.010250
0.019900,0.004782,-0.004386,-0.010215
