q1,q2,q3,frequencies
0.000000,0.000000,0.000000,-50000.000000
0.000000,0.000000,0.000000,-49991.666667
0.000000,0.000000,0.000000,-49983.333333
0.000000,0.000000,0.000000,-49975.000000
0.000000,0.000000,0.000000,-49966.666667
0.000000,0.000000,0.000000,-49958.333333
0.000000,0.000000,0.000000,-49950.000000
0.000000,0.000000,0.000000,-49941.666667
0.000000,0.000000,0.000000,-49933.333333
0.000000,0.000000,0.000000,-49925.000000
0.000000,0.000000,0.000000,-49916.666667
0.000000,0.000000,0.000000,-49908.333333
0.000000,0.000000,0.000000,-49900.000000
0.000000,0.000000,0.000000,-49891.666667
0.000000,0.000000,0.000000,-49883.333333
0.000000,0.000000,0.000000,-49875.000000
0.000000,0.000000,0.000000,-49866.666667
0.000000,0.000000,0.000000,-49858.333333
0.000000,0.000000,0.000000,-49850.000000
0.000000,0.000000,0.000000,-49841.666667
0.000000,0.000000,0.000000,-49833.333333
0.000000,0.000000,0.000000,-49825.000000
0.000000,0.000000,0.000000,-49816.666667
0.000000,0.000000,0.000000,-49808.333333
0.000000,0.000000,0.000000,-49800.000000
0.000000,0.000000,0.000000,-49791.666667
0.000000,0.000000,0.000000,-49783.333333
0.000000,0.000000,0.000000,-49775.000000
0.000000,0.000000,0.000000,-49766.666667
0.000000,0.000000,0.000000,-49758.333333
0.000000,0.000000,0.000000,-49750.000000
0.000000,0.000000,0.000000,-49741.666667
0.000000,0.000000,0.000000,-49733.333333
0.000000,0.000000,0.000000,-49725.000000
0.000000,0.000000,0.000000,-49716.666667
0.000000,0.000000,0.000000,-49708.333333
0.000000,0.000000,0.000000,-49700.000000
0.000000,0.000000,0.000000,-49691.666667
0.000000,0.000000,0.000000,-49683.333333
0.000000,0.000000,0.000000,-49675.000000
0.000000,0.000000,0.000000,-49666.666667
0.000000,0.000000,0.000000,-49658.333333
0.000000,0.000000,0.000000,-49650.000000
0.000000,0.000000,0.000000,-49641.666667
0.000000,0.000000,0.000000,-49633.333333
0.000000,0.000000,0.000000,-49625.000000
0.000000,0.000000,0.000000,-49616.666667
0.000000,0.000000,0.000000,-49608.333333
0.000000,0.000000,0.000000,-49600.000000
0.000000,0.000000,0.000000,-49591.666667
0.000000,0.000000,0.000000,-49583.333333
0.000000,0.000000,0.000000,-49575.000000
0.000000,0.000000,0.000000,-49566.666667
0.000000,0.000000,0.000000,-49558.333333
0.000000,0.000000,0.000000,-49550.000000
0.000000,0.000000,0.000000,-49541.666667
0.000000,0.000000,0.000000,-49533.333333
0.000000,0.000000,0.000000,-49525.000000
0.000000,0.000000,0.000000,-49516.666667
0.000000,0.000000,0.000000,-49508.333333
0.000000,0.000000,0.000000,-49500.000000
0.000000,0.000000,0.000000,-49491.666667
0.000000,0.000000,0.000000,-49483.333333
0.000000,0.000000,0.000000,-49475.000000
0.000000,0.000000,0.000000,-49466.666667
0.000000,0.000000,0.000000,-49458.333333
0.000000,0.000000,0.000000,-49450.000000
0.000000,0.000000,0.000000,-49441.666667
0.000000,0.000000,0.000000,-49433.333333
0.000000,0.000000,0.000000,-49425.000000
0.000000,0.000000,0.000000,-49416.666667
0.000000,0.000000,0.000000,-49408.333333
0.000000,0.000000,0.000000,-49400.000000
0.000000,0.000000,0.000000,-49391.666667
0.000000,0.000000,0.000000,-49383.333333
0.000000,0.000000,0.000000,-49375.000000
0.000000,0.000000,0.000000,-49366.666667
0.000000,0.000000,0.000000,-49358.333333
0.000000,0.000000,0.000000,-49350.000000
0.000000,0.000000,0.000000,-49341.666667
0.000000,0.000000,0.000000,-49333.333333
0.000000,0.000000,0.000000,-49325.000000
0.000000,0.000000,0.000000,-49316.666667
0.000000,0.000000,0.000000,-49308.333333
0.000000,0.000000,0.000000,-49300.000000
0.000000,0.000000,0.000000,-49291.666667
0.000000,0.000000,0.000000,-49283.333333
0.000000,0.000000,0.000000,-49275.000000
0.000000,0.000000,0.000000,-49266.666667
