q1,q2,q3,U_kin,U_pot,time
0.000000,0.000000,0.050000,0.000000,0.000000,0.000000
0.000000,0.000004,0.049996,0.000033,0.249603,0.000050
0.000000,0.000015,0.049985,0.000132,0.249434,0.000100
0.000000,0.000034,0.049966,0.000296,0.249153,0.000150
0.000000,0.000060,0.049940,0.000525,0.248759,0.000200
0.000000,0.000094,0.049906,0.000820,0.248254,0.000250
0.000000,0.000135,0.049865,0.001179,0.247637,0.000300
0.000000,0.000184,0.049816,0.001603,0.246911,0.000350
0.000000,0.000240,0.049759,0.002089,0.246075,0.000400
0.000000,0.000304,0.049696,0.002639,0.245131,0.000450
0.000000,0.000375,0.049625,0.003250,0.244080,0.000500
0.000001,0.000453,0.049546,0.003923,0.242923,0.000550
0.000001,0.000539,0.049460,0.004656,0.241661,0.000600
0.000001,0.000632,0.049367,0.005447,0.240297,0.000650
0.000002,0.000732,0.049266,0.006297,0.238832,0.000700
0.000002,0.000840,0.049158,0.007203,0.237267,0.000750
0.000003,0.000954,0.049042,0.008164,0.235606,0.000800
0.000004,0.001076,0.048920,0.009179,0.233849,0.000850
0.000005,0.001205,0.048790,0.010247,0.231999,0.000900
0.000006,0.001341,0.048653,0.011366,0.230058,0.000950
0.000007,0.001483,0.048509,0.012533,0.228028,0.001000
0.000009,0.001633,0.048358,0.013749,0.225913,0.001050
0.000011,0.001789,0.048200,0.015010,0.223715,0.001100
0.000013,0.001952,0.048035,0.016316,0.221436,0.001150
0.000015,0.002122,0.047863,0.017663,0.219079,0.001200
0.000018,0.002298,0.047684,0.019051,0.216647,0.001250
0.000021,0.002481,0.047498,0.020477,0.214143,0.001300
0.000025,0.002670,0.047306,0.021939,0.211570,0.001350
0.000029,0.002865,0.047106,0.023435,0.208931,0.001400
0.000033,0.003067,0.046900,0.024963,0.206230,0.001450
0.000038,0.003275,0.046688,0.026522,0.203469,0.001500
0.000043,0.003489,0.046469,0.028107,0.200652,0.001550
0.000048,0.003708,0.046243,0.029718,0.197782,0.001600
0.000055,0.003934,0.046011,0.031353,0.194862,0.001650
0.000062,0.004166,0.045773,0.033008,0.191897,0.001700
0.000069,0.004403,0.045528,0.034681,0.188889,0.001750
0.000077,0.004645,0.045278,0.036371,0.185842,0.001800
0.000086,0.004893,0.045021,0.038074,0.182760,0.001850
0.000096,0.005147,0.044758,0.039789,0.179646,0.001900
0.000106,0.005405,0.044489,0.041513,0.176504,0.001950
0.000117,0.005669,0.044214,0.043244,0.173337,0.002000
0.000129,0.005938,0.043934,0.044979,0.170149,0.002050
0.000142,0.006211,0.043647,0.046717,0.166943,0.002100
0.000156,0.006489,0.043355,0.048454,0.163724,0.002150
0.000170,0.006772,0.043058,0.050188,0.160494,0.002200
0.000186,0.007059,0.042755,0.051917,0.157258,0.002250
0.000203,0.007351,0.042447,0.053639,0.154018,0.002300
0.000220,0.007647,0.042133,0.055351,0.150779,0.002350
0.000239,0.007947,0.041814,0.057051,0.147544,0.002400
0.000259,0.008250,0.041490,0.058738,0.144316,0.002450
0.000281,0.008558,0.041161,0.060408,0.141100,0.002500
0.000303,0.008869,0.040828,0.062060,0.137897,0.002550
0.000327,0.009184,0.040489,0.063691,0.134712,0.002600
0.000352,0.009502,0.040146,0.065299,0.131548,0.002650
0.000379,0.009824,0.039798,0.066883,0.128408,0.002700
0.000407,0.010148,0.039445,0.068440,0.125295,0.002750
0.000436,0.010476,0.039088,0.069969,0.122212,0.002800
0.000467,0.010806,0.038727,0.071468,0.119163,0.002850
0.000499,0.011139,0.038362,0.072934,0.116150,0.002900
0.000533,0.011474,0.037992,0.074366,0.113176,0.002950
0.000569,0.011812,0.037619,0.075763,0.110245,0.003000
0.000607,0.012152,0.037242,0.077123,0.107358,0.003050
0.000646,0.012494,0.036860,0.078444,0.104518,0.003100
0.000687,0.012838,0.036476,0.079725,0.101728,0.003150
0.000729,0.013183,0.036087,0.080964,0.098990,0.003200
0.000774,0.013531,0.035695,0.082160,0.096307,0.003250
0.000821,0.013879,0.035300,0.083312,0.093681,0.003300
0.000869,0.014229,0.034902,0.084419,0.091113,0.003350
0.000920,0.014580,0.034500,0.085479,0.088607,0.003400
0.000972,0.014932,0.034096,0.086492,0.086163,0.003450
0.001027,0.015284,0.033689,0.087457,0.083784,0.003500
0.001084,0.015638,0.033278,0.088373,0.081471,0.003550
0.001143,0.015992,0.032866,0.089239,0.079225,0.003600
0.001204,0.016346,0.032450,0.090054,0.077049,0.003650
0.001268,0.016700,0.032032,0.090818,0.074944,0.003700
0.001334,0.017054,0.031612,0.091531,0.072911,0.003750
0.001402,0.017408,0.031190,0.092192,0.070950,0.003800
0.001473,0.017762,0.030766,0.092800,0.069063,0.003850
0.001546,0.018115,0.030339,0.093356,0.067251,0.003900
0.001621,0.018467,0.029911,0.093859,0.065514,0.003950
0.001699,0.018819,0.029481,0.094310,0.063854,0.004000
0.001780,0.019170,0.029050,0.094708,0.062270,0.004050
0.001863,0.019520,0.028617,0.095054,0.060763,0.004100
0.001949,0.019868,0.028183,0.095347,0.059333,0.004150
0.002038,0.020215,0.027747,0.095588,0.057980,0.004200
0.002130,0.020560,0.027310,0.095778,0.056705,0.004250
0.002224,0.020904,0.026873,0.095916,0.055507,0.004300
0.002321,0.021245,0.026434,0.096004,0.054386,0.004350
0.002421,0.021585,0.025995,0.096042,0.053342,0.004400
0.002523,0.021922,0.025555,0.096031,0.052374,0.004450
0.002629,0.022257,0.025114,0.095971,0.051482,0.004500
0.002738,0.022589,0.024673,0.095864,0.050665,0.004550
0.002849,0.022919,0.024232,0.095710,0.049922,0.004600
0.002964,0.023246,0.023790,0.095510,0.049253,0.004650
0.003082,0.023570,0.023348,0.095266,0.048657,0.004700
0.003202,0.023891,0.022907,0.094978,0.048132,0.004750
0.003326,0.024208,0.022465,0.094648,0.047678,0.004800
0.003453,0.024523,0.022024,0.094277,0.047293,0.004850
0.003584,0.024833,0.021583,0.093866,0.046975,0.004900
0.003717,0.025140,0.021143,0.093416,0.046725,0.004950
0.003854,0.025443,0.020703,0.092930,0.046539,0.005000
0.003993,0.025742,0.020264,0.092408,0.046417,0.005050
0.004137,0.026037,0.019826,0.091853,0.046357,0.005100
0.004283,0.026328,0.019389,0.091265,0.046357,0.005150
0.004433,0.026615,0.018952,0.090646,0.046416,0.005200
0.004586,0.026897,0.018517,0.089998,0.046532,0.005250
0.004742,0.027174,0.018084,0.089323,0.046702,0.005300
0.004902,0.027446,0.017651,0.088622,0.046925,0.005350
0.005066,0.027714,0.017220,0.087896,0.047200,0.005400
0.005232,0.027977,0.016791,0.087149,0.047523,0.005450
0.005402,0.028235,0.016363,0.086381,0.047894,0.005500
0.005576,0.028487,0.015937,0.085594,0.048309,0.005550
0.005753,0.028734,0.015513,0.084791,0.048767,0.005600
0.005933,0.028976,0.015091,0.083972,0.049266,0.005650
