Block_size,estimate
0.000000,1.000000
20.000000,18.096595
40.000000,32.943952
60.000000,45.436530
80.000000,56.129690
100.000000,65.739919
120.000000,73.786279
140.000000,80.561336
160.000000,86.919980
180.000000,95.082031
200.000000,99.218384
220.000000,103.698803
240.000000,107.430629
260.000000,111.696052
280.000000,118.353263
300.000000,119.423700
320.000000,120.951536
340.000000,121.474682
360.000000,132.528465
380.000000,127.298833
400.000000,139.195679
420.000000,140.057377
440.000000,138.392907
460.000000,130.389943
480.000000,135.088154
500.000000,136.344780
520.000000,146.471483
540.000000,144.961411
560.000000,150.489746
580.000000,138.678801
600.000000,150.000175
620.000000,137.383144
640.000000,143.930627
660.000000,139.722947
680.000000,141.873572
700.000000,157.999865
720.000000,159.030377
740.000000,161.534563
760.000000,155.888314
780.000000,153.314272
800.000000,158.146568
820.000000,159.463426
840.000000,157.787743
860.000000,159.338210
880.000000,160.296593
900.000000,156.072403
920.000000,143.460927
940.000000,145.111620
960.000000,141.154432
980.000000,146.499642
1000.000000,136.907951
1020.000000,157.442314
1040.000000,148.241916
1060.000000,161.096504
1080.000000,165.053457
1100.000000,133.330588
1120.000000,147.257258
1140.000000,168.492010
1160.000000,146.244922
1180.000000,168.465814
1200.000000,151.175157
1220.000000,151.307349
1240.000000,152.742523
1260.000000,158.256431
1280.000000,155.692547
1300.000000,168.588610
1320.000000,144.780890
1340.000000,157.148229
1360.000000,145.388523
1380.000000,138.218306
1400.000000,176.264426
1420.000000,145.466143
1440.000000,155.972945
1460.000000,146.156621
1480.000000,192.261700
1500.000000,152.533497
1520.000000,166.917136
1540.000000,144.719829
1560.000000,182.745102
1580.000000,180.800828
1600.000000,156.140672
1620.000000,140.433189
1640.000000,180.968099
1660.000000,152.138225
1680.000000,160.888184
1700.000000,184.249305
1720.000000,154.100904
1740.000000,177.959526
1760.000000,147.470526
1780.000000,183.675630
1800.000000,171.512056
1820.000000,138.884222
1840.000000,151.393546
1860.000000,154.885526
1880.000000,175.975081
1900.000000,175.704390
1920.000000,142.908071
1940.000000,137.425310
1960.000000,154.390840
1980.000000,156.584431
