Block_size,estimate
0.000000,9.775958
10.000000,8.370914
20.000000,7.227394
30.000000,6.324756
40.000000,5.586205
50.000000,4.953006
60.000000,4.389443
70.000000,3.897875
80.000000,3.483620
90.000000,3.116938
100.000000,2.797650
110.000000,2.539711
120.000000,2.321446
130.000000,2.150640
140.000000,1.969531
150.000000,1.801851
160.000000,1.637564
170.000000,1.464154
180.000000,1.312333
190.000000,1.183885
200.000000,1.103149
210.000000,1.052415
220.000000,0.964206
230.000000,0.880720
240.000000,0.799784
250.000000,0.723347
260.000000,0.658356
270.000000,0.586666
280.000000,0.536681
290.000000,0.529611
300.000000,0.519431
310.000000,0.498941
320.000000,0.482786
330.000000,0.423637
340.000000,0.378439
350.000000,0.363416
360.000000,0.324078
370.000000,0.267950
380.000000,0.247379
390.000000,0.205160
400.000000,0.179979
410.000000,0.143713
420.000000,0.098742
430.000000,0.075762
440.000000,0.022828
450.000000,-0.068076
460.000000,-0.157667
470.000000,-0.234296
480.000000,-0.269950
490.000000,-0.311983
500.000000,-0.371715
510.000000,-0.423495
520.000000,-0.421733
530.000000,-0.398866
540.000000,-0.377654
550.000000,-0.346482
560.000000,-0.312868
570.000000,-0.292840
580.000000,-0.253625
590.000000,-0.230921
600.000000,-0.218400
610.000000,-0.215860
620.000000,-0.217375
630.000000,-0.194497
640.000000,-0.149522
650.000000,-0.112075
660.000000,-0.097969
670.000000,-0.101640
680.000000,-0.087868
690.000000,-0.065579
700.000000,-0.052786
710.000000,-0.043259
720.000000,0.012759
730.000000,0.076602
740.000000,0.071153
750.000000,0.070585
760.000000,0.072916
770.000000,0.102970
780.000000,0.149598
790.000000,0.161001
800.000000,0.176424
810.000000,0.162826
820.000000,0.152549
830.000000,0.158399
840.000000,0.170923
850.000000,0.187492
860.000000,0.178894
870.000000,0.174869
880.000000,0.152326
890.000000,0.122570
900.000000,0.098510
910.000000,0.091047
920.000000,0.139567
930.000000,0.192083
940.000000,0.281901
950.000000,0.370092
960.000000,0.419055
970.000000,0.445962
980.000000,0.458816
990.000000,0.455265
