x,y
0.228472,0.317267
0.788462,0.695747
0.151080,0.254145
0.570740,0.545186
0.648622,0.596067
0.763924,0.677001
0.326933,0.387494
0.600051,0.564127
0.169493,0.270126
0.972491,0.893922
0.568848,0.543970
0.691608,0.625184
0.702484,0.632717
0.907040,0.802759
0.278097,0.353628
0.936501,0.837830
0.267552,0.346092
0.740280,0.659567
0.660029,0.603702
0.025884,0.102869
0.322205,0.384280
0.918041,0.815159
0.359146,0.409099
0.994498,0.952737
0.948284,0.853947
0.661701,0.604827
0.852782,0.749306
0.200809,0.295811
0.920668,0.818231
0.711145,0.638773
0.350005,0.403016
0.149140,0.252416
0.499607,0.499750
0.501085,0.500690
0.719880,0.644937
0.148229,0.251600
0.265008,0.344260
0.046813,0.138839
0.748279,0.665403
0.434501,0.458182
0.019304,0.088739
0.317127,0.380814
0.126109,0.231119
0.721788,0.646290
0.224168,0.313993
0.404206,0.438637
0.658289,0.602534
0.491720,0.494729
0.144487,0.248230
0.318318,0.381628
0.517604,0.511210
0.466691,0.478779
0.236358,0.323211
0.876750,0.771636
0.461190,0.475268
0.184642,0.282761
0.538451,0.524503
0.313971,0.378653
0.385452,0.426423
0.459119,0.473946
0.025116,0.101319
0.735456,0.656075
0.608259,0.569470
0.524722,0.515745
0.236541,0.323347
0.328140,0.388313
0.672951,0.612427
0.501549,0.500986
0.374952,0.419538
0.421230,0.449644
0.936050,0.837242
0.394257,0.432170
0.738358,0.658173
0.062159,0.160413
0.116045,0.221297
0.962526,0.875978
0.466366,0.478572
0.774334,0.684865
0.454246,0.470831
0.610852,0.571162
0.092652,0.196903
0.971850,0.892681
0.077544,0.179652
0.329010,0.388902
0.848600,0.745571
0.538733,0.524683
0.513652,0.508692
0.387052,0.427469
0.852705,0.749237
0.899104,0.794218
0.846171,0.743421
0.877821,0.772675
0.634560,0.586733
0.454430,0.470949
0.402543,0.437557
0.871101,0.766218
0.782570,0.691178
0.075494,0.177198
0.372650,0.418023
0.157523,0.259822
0.496725,0.497915
0.308700,0.375029
0.551779,0.533023
0.235082,0.322254
0.370859,0.416844
0.667824,0.608955
0.197608,0.293259
0.837225,0.735619
0.442158,0.463094
0.651854,0.598225
0.448077,0.466885
0.534810,0.522178
0.623704,0.579579
0.525621,0.516318
0.863819,0.759382
0.472304,0.482359
0.064354,0.163283
0.377471,0.421193
0.859356,0.755268
0.917059,0.814023
0.276575,0.352546
0.705527,0.634839
0.794879,0.700777
0.911135,0.807293
0.159957,0.261943
0.197423,0.293111
0.782236,0.690920
0.942527,0.845879
0.272917,0.349937
0.154886,0.257510
0.100050,0.204886
0.769641,0.681305
0.463586,0.476797
0.651829,0.598208
0.004724,0.043789
0.834445,0.733230
0.319653,0.382540
0.202332,0.297019
0.671669,0.611558
0.761811,0.675420
0.854186,0.750570
0.119746,0.224950
0.296621,0.366659
0.477890,0.485920
0.645367,0.593899
0.160441,0.262362
0.950194,0.856718
0.709721,0.637774
0.537912,0.524159
0.809550,0.712503
0.626780,0.581601
0.814487,0.716525
0.515077,0.509600
0.421659,0.449920
0.725622,0.649020
0.675035,0.613842
0.619082,0.576545
0.507858,0.505003
0.617562,0.575550
0.891999,0.786822
0.662743,0.605528
0.717612,0.643331
0.661640,0.604786
0.126329,0.231330
0.369442,0.415909
0.666364,0.607969
0.960773,0.873074
0.689095,0.623453
0.868695,0.763942
0.632443,0.585334
0.450906,0.468696
0.722881,0.647067
0.752189,0.668278
0.747528,0.664852
0.200771,0.295780
0.397556,0.434317
0.907968,0.803778
0.150965,0.254042
0.107277,0.212434
0.445880,0.465479
0.960515,0.872651
0.734057,0.655066
0.260367,0.340903
0.475592,0.484455
0.155716,0.258239
0.985989,0.924467
0.150627,0.253742
0.774797,0.685218
0.493847,0.496083
0.768190,0.680208
0.666796,0.608261
0.156590,0.259006
0.485802,0.490960
0.328436,0.388514
0.282919,0.357044
0.855243,0.751525
0.994800,0.954051
0.243692,0.328677
0.544338,0.528264
0.863495,0.759081
0.876135,0.771041
0.995245,0.956066
0.586376,0.555266
0.628324,0.582618
0.742772,0.661379
0.787146,0.694723
0.025880,0.102863
0.650741,0.597481
0.938111,0.839944
0.133158,0.237799
0.096621,0.201220
0.898626,0.793714
0.867214,0.762550
0.356988,0.407666
0.374218,0.419055
0.022930,0.096773
0.342977,0.398315
0.524846,0.515824
0.797727,0.703028
0.836823,0.735273
0.293035,0.364156
0.464523,0.477396
0.993413,0.948275
0.778837,0.688306
0.792959,0.699266
0.276332,0.352373
0.634081,0.586416
0.787759,0.695200
0.520024,0.512751
0.178419,0.277622
0.651254,0.597824
0.396159,0.433408
0.173664,0.273648
0.237629,0.324162
0.024483,0.100024
0.916436,0.813305
0.024776,0.100624
0.050364,0.144097
0.567177,0.542896
0.962887,0.876585
0.183521,0.281841
0.663797,0.606238
0.861513,0.757249
0.050736,0.144637
0.020785,0.092103
0.235731,0.322740
0.073665,0.174982
0.363762,0.412157
0.760577,0.674498
0.871393,0.766496
0.200585,0.295632
0.053612,0.148754
0.335916,0.393569
0.193998,0.290364
0.832449,0.731525
0.128875,0.233759
0.470330,0.481100
0.466529,0.478676
0.916634,0.813533
0.990354,0.937373
0.644948,0.593621
0.567888,0.543353
0.386513,0.427117
0.818612,0.719918
0.805518,0.709247
0.410996,0.443035
0.735049,0.655781
0.830293,0.729692
0.461360,0.475376
0.302226,0.370554
0.793180,0.699439
0.644881,0.593576
0.966023,0.881978
0.654692,0.600123
0.695617,0.627952
0.986808,0.926719
0.890423,0.785212
0.769282,0.681033
0.350570,0.403393
0.651000,0.597654
0.640675,0.590782
0.551155,0.532623
0.704612,0.634200
0.976591,0.902213
0.745153,0.663115
0.537061,0.523615
0.105466,0.210564
0.215482,0.307317
0.003590,0.038167
0.022101,0.094994
0.205836,0.299787
0.648538,0.596012
0.589989,0.557603
0.592349,0.559131
0.467151,0.479072
0.395506,0.432983
0.003345,0.036841
0.202199,0.296914
0.225800,0.315237
0.464705,0.477512
0.504425,0.502817
0.018980,0.087985
0.109586,0.214798
0.470448,0.481175
0.673672,0.612916
0.805203,0.708994
0.457256,0.472755
0.564095,0.540917
0.574485,0.547596
0.807826,0.711107
0.215095,0.307017
0.215160,0.307067
0.358980,0.408989
0.919707,0.817102
0.191751,0.288551
0.104133,0.209178
0.456768,0.472443
0.297217,0.367075
0.319615,0.382514
0.460358,0.474736
0.319318,0.382311
0.525451,0.516210
0.108896,0.214093
0.909307,0.805257
0.117800,0.223036
0.576046,0.548601
0.304813,0.372346
0.121145,0.226318
0.778246,0.687853
0.530613,0.519501
0.585850,0.554926
0.282670,0.356869
0.549593,0.531624
0.695437,0.627827
0.753118,0.668964
0.223265,0.313303
0.500640,0.500407
0.210374,0.303345
0.787360,0.694889
0.075125,0.176753
0.018200,0.086146
0.002456,0.031560
0.290285,0.362230
0.377180,0.421002
0.922163,0.819999
0.482037,0.488562
0.481312,0.488100
0.378930,0.422151
0.779254,0.688626
0.800928,0.705572
0.839288,0.737403
0.098572,0.203313
0.326379,0.387118
0.948184,0.853804
0.007879,0.056583
0.444179,0.464389
0.524230,0.515431
0.312692,0.377775
0.565324,0.541706
0.302476,0.370728
0.843305,0.740902
0.151175,0.254229
0.585146,0.554471
0.392898,0.431284
0.846611,0.743810
0.338264,0.395150
0.616163,0.574634
0.347251,0.401177
0.548638,0.531013
0.403523,0.438193
0.422377,0.450383
0.566838,0.542678
0.405979,0.439786
0.712662,0.639840
0.944018,0.847930
0.328142,0.388314
0.194699,0.290927
0.425330,0.452285
0.707072,0.635919
0.973953,0.896803
0.226258,0.315585
0.546360,0.529556
0.072525,0.173587
0.552636,0.533572
0.494544,0.496526
0.080404,0.183028
0.996815,0.964055
0.018774,0.087504
0.393096,0.431413
0.562140,0.539662
0.321250,0.383629
0.236402,0.323243
0.713315,0.640299
0.906396,0.802054
0.629300,0.583261
0.559926,0.538242
0.244661,0.329394
0.245463,0.329988
0.907177,0.802909
0.793299,0.699533
0.648986,0.596310
0.329554,0.389271
0.360137,0.409756
0.054965,0.150656
0.042216,0.131741
0.304154,0.371890
0.383107,0.424889
0.236914,0.323627
0.729484,0.651781
0.090179,0.194173
0.210867,0.303730
0.955742,0.865062
0.636539,0.588042
0.283392,0.357379
0.508378,0.505334
0.131083,0.235849
0.363795,0.412180
0.505194,0.503307
0.149857,0.253056
0.756891,0.671756
0.067334,0.167107
0.471107,0.481596
