x,v,t
-0.014018, -0.076067, 0.000000
-0.014129, -0.171363, 0.001000
-0.014255, -0.164433, 0.002000
-0.014446, -0.190385, 0.003000
-0.014522, -0.131849, 0.004000
-0.014616, -0.198926, 0.005000
-0.014852, -0.249733, 0.006000
-0.015101, -0.323863, 0.007000
-0.015520, -0.388966, 0.008000
-0.015926, -0.408017, 0.009000
-0.016309, -0.345182, 0.010000
-0.016697, -0.344834, 0.011000
-0.017027, -0.352076, 0.012000
-0.017295, -0.199433, 0.013000
-0.017471, -0.215901, 0.014000
-0.017625, -0.148669, 0.015000
-0.017869, -0.216647, 0.016000
-0.018102, -0.116970, 0.017000
-0.018222, -0.114842, 0.018000
-0.018267, -0.050316, 0.019000
-0.018228, 0.026502, 0.020000
-0.018181, 0.037506, 0.021000
-0.018120, 0.140655, 0.022000
-0.017986, 0.176361, 0.023000
-0.017858, 0.133608, 0.024000
-0.017698, 0.189794, 0.025000
-0.017554, 0.208823, 0.026000
-0.017372, 0.165552, 0.027000
-0.017219, 0.193236, 0.028000
-0.017044, 0.167711, 0.029000
-0.016852, 0.237560, 0.030000
-0.016558, 0.251396, 0.031000
-0.016392, 0.150287, 0.032000
-0.016250, 0.212905, 0.033000
-0.016035, 0.188643, 0.034000
-0.015913, 0.211069, 0.035000
-0.015650, 0.261106, 0.036000
-0.015373, 0.232800, 0.037000
-0.015250, 0.172002, 0.038000
-0.015094, 0.128672, 0.039000
-0.014966, 0.173392, 0.040000
-0.014670, 0.258039, 0.041000
-0.014347, 0.378588, 0.042000
-0.013961, 0.394231, 0.043000
-0.013585, 0.414468, 0.044000
-0.013112, 0.474276, 0.045000
-0.012648, 0.479458, 0.046000
-0.012196, 0.424634, 0.047000
-0.011867, 0.267151, 0.048000
-0.011612, 0.274433, 0.049000
-0.011359, 0.270414, 0.050000
-0.011053, 0.326535, 0.051000
-0.010767, 0.230026, 0.052000
-0.010557, 0.183503, 0.053000
-0.010343, 0.238630, 0.054000
-0.010078, 0.249934, 0.055000
-0.009849, 0.262234, 0.056000
-0.009560, 0.286153, 0.057000
-0.009294, 0.262975, 0.058000
-0.009043, 0.236907, 0.059000
-0.008733, 0.319564, 0.060000
-0.008459, 0.417652, 0.061000
-0.007979, 0.612090, 0.062000
-0.007328, 0.749617, 0.063000
-0.006601, 0.774618, 0.064000
-0.005853, 0.852845, 0.065000
-0.004967, 0.804292, 0.066000
-0.004216, 0.771381, 0.067000
-0.003416, 0.812918, 0.068000
-0.002630, 0.721057, 0.069000
-0.001999, 0.659734, 0.070000
-0.001378, 0.573152, 0.071000
-0.000822, 0.591865, 0.072000
-0.000265, 0.658966, 0.073000
0.000400, 0.735429, 0.074000
0.001024, 0.585985, 0.075000
0.001666, 0.555860, 0.076000
0.002180, 0.535399, 0.077000
0.002707, 0.559924, 0.078000
0.003277, 0.574864, 0.079000
0.003865, 0.578829, 0.080000
0.004480, 0.533789, 0.081000
0.004987, 0.512519, 0.082000
0.005477, 0.482010, 0.083000
0.005958, 0.446634, 0.084000
0.006364, 0.415863, 0.085000
0.006713, 0.388983, 0.086000
0.007060, 0.295814, 0.087000
0.007332, 0.315758, 0.088000
0.007678, 0.331332, 0.089000
0.007997, 0.313234, 0.090000
0.008238, 0.229512, 0.091000
0.008393, 0.189302, 0.092000
0.008547, 0.224125, 0.093000
0.008755, 0.367447, 0.094000
0.009171, 0.373676, 0.095000
0.009585, 0.407497, 0.096000
0.009998, 0.358252, 0.097000
0.010502, 0.459889, 0.098000
0.010975, 0.406167, 0.099000
0.011422, 0.466503, 0.100000
0.011918, 0.462270, 0.101000
0.012384, 0.505318, 0.102000
0.012865, 0.475864, 0.103000
0.013315, 0.393772, 0.104000
0.013727, 0.400399, 0.105000
0.014075, 0.286682, 0.106000
0.014337, 0.335743, 0.107000
0.014745, 0.472595, 0.108000
0.015144, 0.424493, 0.109000
0.015542, 0.408223, 0.110000
0.015904, 0.391717, 0.111000
0.016274, 0.446912, 0.112000
0.016701, 0.438517, 0.113000
0.017189, 0.494150, 0.114000
0.017668, 0.516736, 0.115000
0.018196, 0.417685, 0.116000
0.018582, 0.432235, 0.117000
0.018984, 0.415639, 0.118000
0.019286, 0.300954, 0.119000
0.019596, 0.196298, 0.120000
0.019756, 0.069755, 0.121000
0.019774, 0.023535, 0.122000
