x,v,t
-0.003536, -0.223949, 0.000000
-0.003747, -0.207375, 0.001000
-0.003908, -0.168905, 0.002000
-0.004081, -0.184430, 0.003000
-0.004310, -0.201271, 0.004000
-0.004506, -0.191659, 0.005000
-0.004701, -0.235109, 0.006000
-0.004912, -0.184207, 0.007000
-0.005120, -0.210043, 0.008000
-0.005336, -0.187643, 0.009000
-0.005543, -0.148981, 0.010000
-0.005681, -0.107192, 0.011000
-0.005833, -0.168748, 0.012000
-0.006007, -0.137244, 0.013000
-0.006137, -0.096302, 0.014000
-0.006255, -0.063285, 0.015000
-0.006325, -0.061842, 0.016000
-0.006427, -0.125022, 0.017000
-0.006554, -0.097494, 0.018000
-0.006635, -0.125073, 0.019000
-0.006748, -0.116972, 0.020000
-0.006922, -0.211074, 0.021000
-0.007116, -0.185418, 0.022000
-0.007297, -0.190928, 0.023000
-0.007507, -0.250715, 0.024000
-0.007784, -0.281286, 0.025000
-0.008093, -0.256152, 0.026000
-0.008294, -0.162906, 0.027000
-0.008414, -0.180868, 0.028000
-0.008602, -0.205245, 0.029000
-0.008841, -0.268749, 0.030000
-0.009047, -0.174571, 0.031000
-0.009231, -0.196312, 0.032000
-0.009412, -0.107375, 0.033000
-0.009554, -0.133121, 0.034000
-0.009708, -0.128726, 0.035000
-0.009835, -0.104192, 0.036000
-0.009908, -0.067230, 0.037000
-0.009955, -0.055689, 0.038000
-0.010088, -0.128875, 0.039000
-0.010234, -0.173055, 0.040000
-0.010450, -0.168393, 0.041000
-0.010605, -0.126980, 0.042000
-0.010768, -0.145749, 0.043000
-0.010943, -0.163389, 0.044000
-0.011116, -0.179608, 0.045000
-0.011346, -0.284960, 0.046000
-0.011673, -0.362532, 0.047000
-0.012018, -0.352584, 0.048000
-0.012355, -0.386158, 0.049000
-0.012737, -0.340139, 0.050000
-0.013020, -0.231049, 0.051000
-0.013273, -0.200316, 0.052000
-0.013486, -0.287059, 0.053000
-0.013806, -0.326927, 0.054000
-0.014159, -0.356217, 0.055000
-0.014518, -0.362795, 0.056000
-0.014835, -0.284334, 0.057000
-0.015092, -0.273872, 0.058000
-0.015325, -0.282536, 0.059000
-0.015562, -0.232006, 0.060000
-0.015877, -0.336596, 0.061000
-0.016124, -0.211901, 0.062000
-0.016333, -0.193313, 0.063000
-0.016497, -0.162702, 0.064000
-0.016597, -0.031360, 0.065000
-0.016697, -0.110280, 0.066000
-0.016789, -0.037917, 0.067000
-0.016814, -0.039764, 0.068000
-0.016836, -0.033348, 0.069000
-0.016856, 0.051132, 0.070000
-0.016745, 0.175975, 0.071000
-0.016629, 0.122050, 0.072000
-0.016544, 0.090825, 0.073000
-0.016518, 0.022211, 0.074000
-0.016473, 0.069702, 0.075000
-0.016397, 0.106471, 0.076000
-0.016302, 0.049099, 0.077000
-0.016237, 0.085884, 0.078000
-0.016138, 0.165576, 0.079000
-0.015943, 0.169117, 0.080000
-0.015744, 0.179480, 0.081000
-0.015635, 0.212520, 0.082000
-0.015442, 0.173488, 0.083000
-0.015266, 0.168379, 0.084000
-0.015049, 0.162453, 0.085000
-0.014920, 0.100940, 0.086000
-0.014759, 0.164759, 0.087000
-0.014602, 0.141266, 0.088000
-0.014442, 0.158598, 0.089000
-0.014251, 0.217061, 0.090000
-0.013991, 0.303176, 0.091000
-0.013700, 0.256765, 0.092000
-0.013423, 0.266050, 0.093000
-0.013215, 0.172374, 0.094000
-0.013045, 0.188029, 0.095000
-0.012893, 0.155599, 0.096000
-0.012702, 0.172200, 0.097000
-0.012491, 0.198670, 0.098000
-0.012325, 0.169757, 0.099000
-0.012152, 0.196984, 0.100000
-0.011950, 0.144924, 0.101000
-0.011867, 0.090077, 0.102000
-0.011753, 0.127136, 0.103000
-0.011589, 0.113489, 0.104000
-0.011490, 0.085797, 0.105000
-0.011416, 0.087322, 0.106000
-0.011309, 0.081268, 0.107000
-0.011202, 0.124296, 0.108000
-0.011013, 0.154081, 0.109000
-0.010865, 0.122955, 0.110000
-0.010769, 0.018647, 0.111000
-0.010763, 0.043463, 0.112000
-0.010710, 0.048684, 0.113000
-0.010711, 0.002029, 0.114000
-0.010659, 0.048646, 0.115000
-0.010579, 0.130526, 0.116000
-0.010461, 0.129265, 0.117000
-0.010365, 0.105246, 0.118000
-0.010237, 0.080506, 0.119000
-0.010128, 0.098743, 0.120000
-0.009998, 0.127828, 0.121000
-0.009892, 0.163232, 0.122000
-0.009717, 0.172262, 0.123000
-0.009524, 0.219229, 0.124000
-0.009281, 0.260759, 0.125000
-0.009019, 0.289200, 0.126000
-0.008666, 0.362615, 0.127000
-0.008239, 0.446842, 0.128000
-0.007810, 0.467277, 0.129000
-0.007372, 0.431203, 0.130000
-0.006915, 0.446822, 0.131000
-0.006517, 0.414770, 0.132000
-0.006069, 0.414374, 0.133000
-0.005642, 0.441564, 0.134000
-0.005264, 0.364327, 0.135000
-0.004893, 0.426381, 0.136000
-0.004493, 0.396666, 0.137000
-0.004068, 0.412557, 0.138000
-0.003608, 0.507981, 0.139000
-0.003071, 0.512889, 0.140000
-0.002595, 0.532358, 0.141000
-0.002081, 0.420856, 0.142000
-0.001682, 0.420347, 0.143000
-0.001282, 0.395226, 0.144000
-0.000921, 0.405141, 0.145000
-0.000535, 0.354094, 0.146000
-0.000218, 0.330326, 0.147000
0.000118, 0.309046, 0.148000
0.000456, 0.369128, 0.149000
0.000801, 0.365271, 0.150000
0.001144, 0.377860, 0.151000
0.001592, 0.423207, 0.152000
0.001988, 0.372364, 0.153000
0.002387, 0.435857, 0.154000
0.002815, 0.458571, 0.155000
0.003222, 0.350831, 0.156000
0.003516, 0.262080, 0.157000
0.003847, 0.334562, 0.158000
0.004165, 0.310604, 0.159000
0.004423, 0.236043, 0.160000
0.004668, 0.253461, 0.161000
0.004937, 0.330660, 0.162000
0.005304, 0.357275, 0.163000
0.005639, 0.318337, 0.164000
0.005936, 0.284462, 0.165000
0.006220, 0.260344, 0.166000
0.006451, 0.250320, 0.167000
0.006722, 0.301102, 0.168000
0.007045, 0.278558, 0.169000
0.007307, 0.280777, 0.170000
0.007586, 0.259749, 0.171000
0.007863, 0.321369, 0.172000
0.008181, 0.324999, 0.173000
0.008567, 0.429736, 0.174000
0.009021, 0.507642, 0.175000
0.009521, 0.472074, 0.176000
0.009985, 0.471737, 0.177000
0.010407, 0.466663, 0.178000
0.010932, 0.518374, 0.179000
0.011441, 0.502439, 0.180000
0.011963, 0.569399, 0.181000
0.012552, 0.560176, 0.182000
0.013110, 0.540148, 0.183000
0.013640, 0.560251, 0.184000
0.014170, 0.568555, 0.185000
0.014696, 0.503354, 0.186000
0.015225, 0.459220, 0.187000
0.015627, 0.451721, 0.188000
0.016024, 0.394264, 0.189000
0.016406, 0.381565, 0.190000
0.016802, 0.391188, 0.191000
0.017221, 0.411076, 0.192000
0.017613, 0.381817, 0.193000
0.017992, 0.381696, 0.194000
0.018331, 0.310288, 0.195000
0.018618, 0.277992, 0.196000
0.018895, 0.244895, 0.197000
0.019106, 0.220992, 0.198000
0.019375, 0.201169, 0.199000
0.019593, 0.229680, 0.200000
0.019779, 0.130516, 0.201000
0.019920, 0.206786, 0.202000
0.020093, 0.217556, 0.203000
0.020298, 0.214272, 0.204000
0.020468, 0.177514, 0.205000
0.020640, 0.182948, 0.206000
0.020832, 0.205187, 0.207000
0.021047, 0.176513, 0.208000
0.021277, 0.235343, 0.209000
0.021509, 0.193173, 0.210000
0.021688, 0.144927, 0.211000
0.021817, 0.131963, 0.212000
0.022040, 0.228301, 0.213000
0.022238, 0.213879, 0.214000
