time,temperature,pressure,lattice,pos1,pos2
0.000000,4.826617,43873.141057,4.040259,0.144371,0.135795,-0.223883
0.001000,78.445708,42573.400763,4.040511,0.143872,0.134899,-0.222466
0.002000,166.897777,40723.431820,4.040751,0.143104,0.133521,-0.220290
0.003000,265.494386,38464.672796,4.040978,0.142110,0.131735,-0.217472
0.004000,370.787042,35899.823225,4.041190,0.140914,0.129581,-0.214076
0.005000,479.890608,33116.145455,4.041386,0.139535,0.127087,-0.210149
0.006000,590.320863,30189.054631,4.041564,0.137987,0.124275,-0.205726
0.007000,699.945160,27190.828295,4.041725,0.136284,0.121163,-0.200840
0.008000,806.958832,24185.128606,4.041868,0.134436,0.117768,-0.195519
0.009000,909.861755,21225.816621,4.041993,0.132455,0.114105,-0.189788
0.010000,1007.434206,18359.134716,4.042102,0.130351,0.110191,-0.183672
0.011000,1098.712917,15625.909435,4.042194,0.128134,0.106038,-0.177194
0.012000,1182.964928,13061.770380,4.042271,0.125813,0.101663,-0.170378
0.013000,1259.663185,10696.761359,4.042335,0.123395,0.097078,-0.163246
0.014000,1328.463322,8556.985942,4.042385,0.120888,0.092300,-0.155819
0.015000,1389.177247,6662.524689,4.042424,0.118298,0.087341,-0.148119
0.016000,1441.745992,5033.346990,4.042454,0.115633,0.082218,-0.140167
0.017000,1486.218116,3680.067994,4.042476,0.112897,0.076945,-0.131984
0.018000,1522.726541,2610.363170,4.042491,0.110094,0.071538,-0.123591
0.019000,1551.466508,1827.196561,4.042502,0.107228,0.066013,-0.115008
0.020000,1572.683184,1328.712002,4.042510,0.104301,0.060385,-0.106255
0.021000,1586.661640,1106.603883,4.042517,0.101316,0.054671,-0.097354
0.022000,1593.719538,1149.338958,4.042523,0.098274,0.048887,-0.088325
0.023000,1594.202988,1453.671854,4.042532,0.095173,0.043052,-0.079188
0.024000,1588.483883,2011.276690,4.042544,0.092015,0.037180,-0.069963
0.025000,1576.959603,2804.343570,4.042560,0.088796,0.031291,-0.060673
0.026000,1560.050434,3817.584916,4.042583,0.085514,0.025402,-0.051336
0.027000,1538.196869,5039.028892,4.042613,0.082167,0.019529,-0.041976
0.028000,1511.863221,6458.177050,4.042651,0.078749,0.013691,-0.032612
0.029000,1481.540019,8055.770881,4.042698,0.075256,0.007905,-0.023267
0.030000,1447.739810,9805.813530,4.042756,0.071682,0.002189,-0.013962
0.031000,1410.999035,11687.776151,4.042826,0.068022,-0.003438,-0.004720
0.032000,1371.880224,13684.260961,4.042906,0.064267,-0.008960,0.004436
0.033000,1330.969302,15766.944637,4.043000,0.060412,-0.014356,0.013485
0.034000,1288.873407,17917.852264,4.043105,0.056447,-0.019610,0.022402
0.035000,1246.216374,20115.553846,4.043224,0.052366,-0.024702,0.031164
0.036000,1203.632899,22329.404821,4.043356,0.048158,-0.029614,0.039747
0.037000,1161.761594,24539.802283,4.043501,0.043815,-0.034327,0.048126
0.038000,1121.235279,26723.073846,4.043659,0.039328,-0.038822,0.056278
0.039000,1082.669784,28857.424036,4.043830,0.034688,-0.043080,0.064178
0.040000,1046.650925,30921.075486,4.044013,0.029885,-0.047083,0.071800
0.041000,1013.721349,32888.960719,4.044207,0.024909,-0.050811,0.079118
0.042000,984.369203,34742.730569,4.044413,0.019753,-0.054245,0.086107
0.043000,959.016092,36462.454796,4.044628,0.014409,-0.057366,0.092742
0.044000,938.005895,38035.293415,4.044853,0.008868,-0.060155,0.098996
0.045000,921.595789,39451.431671,4.045086,0.003125,-0.062593,0.104843
0.046000,909.951160,40701.182975,4.045327,-0.002825,-0.064662,0.110259
0.047000,903.141732,41775.668018,4.045574,-0.008985,-0.066344,0.115218
0.048000,901.139981,42673.596127,4.045826,-0.015356,-0.067621,0.119698
0.049000,903.824136,43394.165458,4.046083,-0.021938,-0.068478,0.123676
0.050000,910.983412,43938.657793,4.046343,-0.028726,-0.068900,0.127132
0.051000,922.324429,44316.429891,4.046605,-0.035716,-0.068874,0.130049
0.052000,937.479195,44538.186973,4.046869,-0.042899,-0.068389,0.132413
0.053000,956.016158,44614.394520,4.047133,-0.050266,-0.067437,0.134213
0.054000,977.452502,44561.022581,4.047396,-0.057804,-0.066011,0.135441
0.055000,1001.265657,44392.232084,4.047659,-0.065499,-0.064109,0.136097
0.056000,1026.907299,44125.224488,4.047920,-0.073336,-0.061730,0.136180
0.057000,1053.817417,43779.520027,4.048179,-0.081298,-0.058877,0.135697
0.058000,1081.437748,43371.517952,4.048436,-0.089365,-0.055556,0.134659
0.059000,1109.225008,42922.409936,4.048690,-0.097520,-0.051775,0.133080
0.060000,1136.663759,42447.962051,4.048941,-0.105743,-0.047545,0.130979
0.061000,1163.278583,41969.765056,4.049189,-0.114013,-0.042881,0.128379
0.062000,1188.643467,41505.700576,4.049435,-0.122310,-0.037799,0.125306
0.063000,1212.390034,41070.268923,4.049678,-0.130616,-0.032318,0.121788
0.064000,1234.211797,40679.525692,4.049919,-0.138909,-0.026460,0.117857
0.065000,1253.868155,40347.752439,4.050158,-0.147172,-0.020248,0.113548
0.066000,1271.188088,40077.910530,4.050395,-0.155386,-0.013708,0.108895
0.067000,1286.068278,39882.560137,4.050631,-0.163533,-0.006866,0.103937
0.068000,1298.466829,39771.885191,4.050867,-0.171598,0.000250,0.098712
0.069000,1308.398331,39748.886400,4.051102,-0.179563,0.007609,0.093260
0.070000,1315.928832,39813.675646,4.051338,-0.187414,0.015182,0.087622
0.071000,1321.168450,39964.633189,4.051575,-0.195138,0.022937,0.081839
0.072000,1324.262275,40200.374827,4.051813,-0.202722,0.030840,0.075952
0.073000,1325.383194,40517.941909,4.052053,-0.210154,0.038860,0.070002
0.074000,1324.723373,40912.694478,4.052295,-0.217423,0.046961,0.064029
0.075000,1322.482259,41375.640221,4.052540,-0.224519,0.055109,0.058075
0.076000,1318.859844,41905.877118,4.052788,-0.231433,0.063271,0.052179
0.077000,1314.052236,42497.920816,4.053040,-0.238157,0.071411,0.046378
0.078000,1308.247362,43138.320311,4.053296,-0.244683,0.079495,0.040711
0.079000,1301.623497,43822.728901,4.053556,-0.251004,0.087490,0.035212
0.080000,1294.349661,44539.188451,4.053819,-0.257115,0.095362,0.029914
0.081000,1286.584403,45285.237281,4.054088,-0.263009,0.103079,0.024849
0.082000,1278.475693,46055.906560,4.054361,-0.268683,0.110610,0.020046
0.083000,1270.163333,46845.298798,4.054638,-0.274131,0.117926,0.015530
0.084000,1261.783781,47642.646394,4.054921,-0.279350,0.124996,0.011326
0.085000,1253.473359,48442.360977,4.055208,-0.284336,0.131794,0.007453
0.086000,1245.367881,49237.416218,4.055500,-0.289084,0.138294,0.003929
0.087000,1237.603073,50021.413824,4.055796,-0.293592,0.144472,0.000768
0.088000,1230.315765,50785.897071,4.056097,-0.297855,0.150306,-0.002020
0.089000,1223.644516,51528.084716,4.056403,-0.301870,0.155775,-0.004426
0.090000,1217.725462,52239.622621,4.056713,-0.305631,0.160862,-0.006446
0.091000,1212.686113,52914.062575,4.057027,-0.309134,0.165550,-0.008079
0.092000,1208.645546,53547.322269,4.057344,-0.312375,0.169823,-0.009327
