r_vec,N_avg,N_ideal,g_radial
0.000000,0.000000,0.000134,0.000000,0.000000
0.080800,0.000000,0.000134,0.000000,0.000000
0.161600,0.000000,0.000935,0.000000,0.000000
0.242400,0.000000,0.002537,0.000000,0.000000
0.323200,0.000000,0.004940,0.000000,0.000000
0.404000,0.000000,0.008145,0.000000,0.000000
0.484800,0.000000,0.012150,0.000000,0.000000
0.565600,0.000000,0.016957,0.000000,0.000000
0.646400,0.000000,0.022564,0.000000,0.000000
0.727200,0.000000,0.028973,0.000000,0.000000
0.808000,0.000000,0.036183,0.000000,0.000000
0.888800,0.000000,0.044194,0.000000,0.000000
0.969600,0.000000,0.053007,0.000000,0.000000
1.050400,0.000000,0.062620,0.000000,0.000000
1.131200,0.000000,0.073034,0.000000,0.000000
1.212000,0.000000,0.084250,0.000000,0.000000
1.292800,0.000000,0.096266,0.000000,0.000000
1.373600,0.000000,0.109084,0.000000,0.000000
1.454400,0.000000,0.122703,0.000000,0.000000
1.535200,0.000000,0.137123,0.000000,0.000000
1.616000,0.000000,0.152344,0.000000,0.000000
1.696800,0.000000,0.168366,0.000000,0.000000
1.777600,0.000000,0.185189,0.000000,0.000000
1.858400,0.000000,0.202813,0.000000,0.000000
1.939200,0.000000,0.221239,0.000000,0.000000
2.020000,0.000000,0.240465,0.000000,0.000000
2.100800,0.000000,0.260493,0.000000,0.000000
2.181600,0.000017,0.281322,0.000061,0.000002
2.262400,0.000655,0.302952,0.002163,0.000092
2.343200,0.010326,0.325383,0.031734,0.001462
2.424000,0.063566,0.348615,0.182340,0.010110
2.504800,0.228652,0.372648,0.613587,0.042266
2.585600,0.525083,0.397482,1.321024,0.120424
2.666400,0.868361,0.423118,2.052293,0.256706
2.747200,1.117549,0.449554,2.485905,0.440049
2.828000,1.221574,0.476792,2.562071,0.643988
2.908800,1.185515,0.504830,2.348344,0.842368
2.989600,1.075092,0.533670,2.014526,1.018628
3.070400,0.933433,0.563311,1.657046,1.166960
3.151200,0.799606,0.593753,1.346698,1.288311
3.232000,0.688658,0.624996,1.101859,1.387233
3.312800,0.600365,0.657041,0.913742,1.468663
3.393600,0.533990,0.689886,0.774026,1.536849
3.474400,0.481810,0.723532,0.665914,1.595022
3.555200,0.451853,0.757980,0.596127,1.646009
3.636000,0.435180,0.793229,0.548618,1.692256
3.716800,0.429009,0.829278,0.517328,1.735321
3.797600,0.429970,0.866129,0.496427,1.776276
3.878400,0.449051,0.903781,0.496858,1.816405
3.959200,0.476170,0.942234,0.505363,1.856895
4.040000,0.510535,0.981489,0.520164,1.898326
4.120800,0.558200,1.021544,0.546428,1.941416
4.201600,0.616691,1.062400,0.580469,1.986943
4.282400,0.691717,1.104058,0.626522,2.035706
4.363200,0.778010,1.146516,0.678586,2.088432
4.444000,0.871771,1.189776,0.732719,2.145449
4.524800,0.988035,1.233837,0.800782,2.207402
4.605600,1.102322,1.278699,0.862066,2.274581
4.686400,1.223911,1.324362,0.924151,2.346744
4.767200,1.331771,1.370826,0.971510,2.423329
4.848000,1.442179,1.418091,1.016986,2.503664
4.928800,1.532225,1.466158,1.045062,2.586971
5.009600,1.614743,1.515025,1.065819,2.672250
5.090400,1.692918,1.564694,1.081949,2.759020
5.171200,1.761695,1.615163,1.090722,2.846796
5.252000,1.816958,1.666434,1.090327,2.934911
5.332800,1.868199,1.718506,1.087106,3.022879
5.413600,1.896290,1.771379,1.070516,3.110047
5.494400,1.899330,1.825053,1.040698,3.195340
5.575200,1.905056,1.879528,1.013582,3.278333
5.656000,1.891093,1.934805,0.977408,3.358769
5.736800,1.862303,1.990882,0.935416,3.436047
5.817600,1.829604,2.047761,0.893466,3.509934
5.898400,1.804534,2.105440,0.857082,3.580656
5.979200,1.767143,2.163921,0.816639,3.648274
6.060000,1.745363,2.223203,0.785067,3.712983
6.140800,1.744110,2.283286,0.763860,3.775560
6.221600,1.753589,2.344170,0.748064,3.836641
6.302400,1.782609,2.405855,0.740946,3.896797
6.383200,1.828506,2.468341,0.740783,3.956659
6.464000,1.890239,2.531629,0.746649,4.016752
6.544800,1.975314,2.595717,0.760990,4.077660
6.625600,2.063363,2.660607,0.775524,4.139735
6.706400,2.174828,2.726298,0.797722,4.203294
6.787200,2.293320,2.792789,0.821157,4.268697
6.868000,2.423100,2.860082,0.847213,4.336099
6.948800,2.549029,2.928176,0.870518,4.405496
7.029600,2.691345,2.997072,0.897991,4.476943
7.110400,2.816117,3.066768,0.918269,4.550320
7.191200,2.934087,3.137265,0.935237,4.625202
7.272000,3.043912,3.208564,0.948684,4.701312
7.352800,3.140637,3.280663,0.957318,4.778315
7.433600,3.216987,3.353564,0.959274,4.855745
7.514400,3.279000,3.427266,0.956740,4.933152
7.595200,3.329854,3.501768,0.950907,5.010221
7.676000,3.380456,3.577072,0.945034,5.086817
7.756800,3.431329,3.653177,0.939272,5.162943
7.837600,3.459419,3.730084,0.927437,5.238358
7.918400,3.488833,3.807791,0.916235,5.312842
7.999200,3.519469,3.886299,0.905609,5.386445
