time,temperature,pressure,lattice,pos1,pos2
0.000000,4.939530,52950.182806,4.040313,-0.259202,-0.175487,-0.162662
0.001000,44.993146,51834.295414,4.040619,-0.258374,-0.174077,-0.161163
0.002000,97.517862,50233.641620,4.040916,-0.257060,-0.171859,-0.158806
0.003000,159.638559,48241.692408,4.041201,-0.255312,-0.168942,-0.155703
0.004000,229.091651,45930.478364,4.041472,-0.253163,-0.165394,-0.151927
0.005000,303.852676,43364.788963,4.041728,-0.250634,-0.161274,-0.147537
0.006000,382.058311,40605.862365,4.041968,-0.247743,-0.156634,-0.142589
0.007000,461.997400,37710.003354,4.042191,-0.244505,-0.151523,-0.137132
0.008000,542.119708,34731.699754,4.042396,-0.240935,-0.145989,-0.131217
0.009000,621.045524,31717.823159,4.042584,-0.237048,-0.140076,-0.124891
0.010000,697.571588,28712.230385,4.042753,-0.232856,-0.133830,-0.118200
0.011000,770.672022,25753.533483,4.042905,-0.228374,-0.127292,-0.111190
0.012000,839.494893,22877.481419,4.043041,-0.223614,-0.120501,-0.103903
0.013000,903.355515,20114.080860,4.043159,-0.218593,-0.113495,-0.096383
0.014000,961.726334,17488.027770,4.043263,-0.213323,-0.106310,-0.088669
0.015000,1014.224499,15024.607201,4.043352,-0.207818,-0.098980,-0.080798
0.016000,1060.598476,12743.484920,4.043427,-0.202094,-0.091534,-0.072808
0.017000,1100.713577,10663.203707,4.043490,-0.196165,-0.084002,-0.064731
0.018000,1134.535114,8794.870631,4.043542,-0.190044,-0.076410,-0.056599
0.019000,1162.112512,7144.364565,4.043584,-0.183746,-0.068783,-0.048442
0.020000,1183.566435,5713.694396,4.043618,-0.177286,-0.061141,-0.040287
0.021000,1199.077300,4511.546411,4.043645,-0.170678,-0.053507,-0.032160
0.022000,1208.872184,3534.479778,4.043666,-0.163934,-0.045897,-0.024081
0.023000,1213.213584,2777.661463,4.043682,-0.157070,-0.038331,-0.016074
0.024000,1212.394248,2241.824371,4.043695,-0.150098,-0.030821,-0.008156
0.025000,1206.730520,1921.157384,4.043707,-0.143031,-0.023383,-0.000345
0.026000,1196.556803,1803.488847,4.043717,-0.135882,-0.016027,0.007345
0.027000,1182.221764,1881.174486,4.043728,-0.128664,-0.008765,0.014899
0.028000,1164.085052,2141.978652,4.043741,-0.121387,-0.001606,0.022307
0.029000,1142.517256,2571.864936,4.043756,-0.114062,0.005441,0.029557
0.030000,1117.896849,3153.930174,4.043775,-0.106702,0.012369,0.036641
0.031000,1090.608999,3876.864212,4.043798,-0.099316,0.019172,0.043550
0.032000,1061.046100,4728.560237,4.043826,-0.091914,0.025845,0.050280
0.033000,1029.606287,5693.088136,4.043859,-0.084507,0.032382,0.056823
0.034000,996.691599,6754.946624,4.043899,-0.077104,0.038779,0.063178
0.035000,962.705195,7896.793664,4.043946,-0.069712,0.045033,0.069340
0.036000,928.049008,9102.424581,4.044000,-0.062340,0.051140,0.075308
0.037000,893.121734,10355.967766,4.044061,-0.054996,0.057098,0.081080
0.038000,858.315063,11643.344292,4.044130,-0.047686,0.062905,0.086656
0.039000,824.010118,12945.070808,4.044206,-0.040415,0.068558,0.092036
0.040000,790.574238,14246.916145,4.044291,-0.033191,0.074056,0.097222
0.041000,758.355925,15534.614696,4.044382,-0.026017,0.079397,0.102214
0.042000,727.681452,16793.501588,4.044482,-0.018899,0.084581,0.107016
0.043000,698.850420,18011.689331,4.044588,-0.011841,0.089606,0.111629
0.044000,672.130878,19176.770608,4.044702,-0.004847,0.094472,0.116056
0.045000,647.756846,20278.194466,4.044821,0.002081,0.099177,0.120300
0.046000,625.925080,21307.096619,4.044947,0.008937,0.103721,0.124366
0.047000,606.791675,22253.559709,4.045079,0.015720,0.108102,0.128255
0.048000,590.470803,23110.068827,4.045216,0.022425,0.112320,0.131973
0.049000,577.033555,23868.542767,4.045357,0.029050,0.116373,0.135522
0.050000,566.506224,24525.239345,4.045502,0.035591,0.120261,0.138907
0.051000,558.870759,25077.654247,4.045650,0.042045,0.123982,0.142131
0.052000,554.066863,25524.383836,4.045801,0.048407,0.127534,0.145198
0.053000,551.993810,25865.833432,4.045954,0.054675,0.130915,0.148111
0.054000,552.512515,26103.963687,4.046109,0.060843,0.134124,0.150875
0.055000,555.449364,26241.615432,4.046264,0.066907,0.137159,0.153493
0.056000,560.599769,26284.056669,4.046419,0.072862,0.140017,0.155969
0.057000,567.732830,26239.586542,4.046574,0.078703,0.142697,0.158307
0.058000,576.597146,26114.735383,4.046729,0.084425,0.145196,0.160510
0.059000,586.925527,25918.449604,4.046882,0.090023,0.147513,0.162583
0.060000,598.441468,25659.722057,4.047034,0.095491,0.149646,0.164529
0.061000,610.864448,25346.726546,4.047184,0.100825,0.151593,0.166354
0.062000,623.915129,24988.909785,4.047332,0.106019,0.153353,0.168061
0.063000,637.321263,24596.187816,4.047477,0.111069,0.154925,0.169654
0.064000,650.820337,24181.013981,4.047621,0.115971,0.156309,0.171139
0.065000,664.163059,23752.110808,4.047761,0.120721,0.157503,0.172521
0.066000,677.117092,23320.672845,4.047899,0.125314,0.158508,0.173803
0.067000,689.469831,22895.248070,4.048035,0.129748,0.159324,0.174991
0.068000,701.031185,22484.265882,4.048168,0.134019,0.159951,0.176089
0.069000,711.634697,22097.338739,4.048298,0.138125,0.160389,0.177103
0.070000,721.138138,21741.160735,4.048427,0.142064,0.160641,0.178037
0.071000,729.423157,21425.320882,4.048554,0.145834,0.160707,0.178896
0.072000,736.394819,21154.754979,4.048679,0.149434,0.160588,0.179685
0.073000,741.982385,20935.668827,4.048803,0.152863,0.160287,0.180409
0.074000,746.138487,20769.304020,4.048926,0.156121,0.159806,0.181071
0.075000,748.837332,20659.111325,4.049048,0.159208,0.159147,0.181678
0.076000,750.074227,20609.148284,4.049170,0.162124,0.158314,0.182232
0.077000,749.865486,20616.656104,4.049292,0.164869,0.157308,0.182738
0.078000,748.247225,20678.163863,4.049415,0.167446,0.156134,0.183200
0.079000,745.273724,20795.533151,4.049538,0.169856,0.154795,0.183622
0.080000,741.016025,20965.482908,4.049662,0.172100,0.153295,0.184008
0.081000,735.561019,21184.478668,4.049787,0.174182,0.151637,0.184360
0.082000,729.009520,21448.956643,4.049914,0.176103,0.149827,0.184683
0.083000,721.474137,21754.269074,4.050043,0.177868,0.147869,0.184979
0.084000,713.079210,22093.063211,4.050174,0.179478,0.145768,0.185251
0.085000,703.960350,22459.977622,4.050307,0.180940,0.143529,0.185501
0.086000,694.262419,22845.771438,4.050442,0.182255,0.141157,0.185732
0.087000,684.136621,23246.159747,4.050580,0.183429,0.138659,0.185946
0.088000,673.737809,23653.299171,4.050720,0.184467,0.136040,0.186145
0.089000,663.224108,24059.597160,4.050862,0.185373,0.133306,0.186330
0.090000,652.755306,24456.857483,4.051007,0.186153,0.130465,0.186503
0.091000,642.488859,24839.312615,4.051154,0.186812,0.127523,0.186666
0.092000,632.578603,25201.137753,4.051303,0.187356,0.124487,0.186818
0.093000,623.172957,25533.780123,4.051455,0.187791,0.121364,0.186961
0.094000,614.412272,25835.874548,4.051608,0.188123,0.118164,0.187097
0.095000,606.427706,26100.436306,4.051762,0.188358,0.114892,0.187224
0.096000,599.339166,26322.714998,4.051918,0.188504,0.111559,0.187344
0.097000,593.253855,26500.359751,4.052075,0.188567,0.108172,0.187456
0.098000,588.265697,26629.050054,4.052233,0.188553,0.104742,0.187561
0.099000,584.453910,26707.202508,4.052391,0.188470,0.101275,0.187658
0.100000,581.882772,26732.976482,4.052549,0.188325,0.097784,0.187747
0.101000,580.601688,26706.129190,4.052708,0.188125,0.094276,0.187829
0.102000,580.644886,26625.186448,4.052865,0.187877,0.090763,0.187901
0.103000,582.031837,26487.985002,4.053022,0.187588,0.087254,0.187963
0.104000,584.768274,26298.952585,4.053178,0.187265,0.083760,0.188016
0.105000,588.846154,26061.220818,4.053333,0.186916,0.080290,0.188057
0.106000,594.243145,25774.919253,4.053485,0.186545,0.076854,0.188085
0.107000,600.923544,25442.258915,4.053636,0.186160,0.073464,0.188101
0.108000,608.838730,25065.022328,4.053785,0.185767,0.070128,0.188101
0.109000,617.927060,24646.859493,4.053931,0.185371,0.066857,0.188086
0.110000,628.114015,24189.778640,4.054074,0.184977,0.063659,0.188053
0.111000,639.312417,23698.419926,4.054214,0.184590,0.060543,0.188001
0.112000,651.423580,23177.005791,4.054352,0.184213,0.057517,0.187928
0.113000,664.338029,22631.440036,4.054486,0.183849,0.054589,0.187833
0.114000,677.934526,22065.784584,4.054617,0.183503,0.051767,0.187714
0.115000,692.081883,21484.119462,4.054744,0.183174,0.049056,0.187568
0.116000,706.642122,20888.871455,4.054868,0.182864,0.046461,0.187395
0.117000,721.471247,20285.538311,4.054988,0.182574,0.043988,0.187192
0.118000,736.420283,19681.395523,4.055105,0.182302,0.041640,0.186956
0.119000,751.336671,19079.255147,4.055218,0.182047,0.039420,0.186686
0.120000,766.066725,18484.588165,4.055328,0.181808,0.037329,0.186380
0.121000,780.459786,17899.648351,4.055434,0.181580,0.035370,0.186034
0.122000,794.369724,17332.871397,4.055536,0.181360,0.033541,0.185648
0.123000,807.655200,16783.446192,4.055636,0.181143,0.031843,0.185218
0.124000,820.182813,16256.966130,4.055732,0.180925,0.030274,0.184742
0.125000,831.830069,15756.462575,4.055826,0.180698,0.028831,0.184218
0.126000,842.486151,15285.897415,4.055916,0.180457,0.027512,0.183644
0.127000,852.052831,14852.238355,4.056004,0.180194,0.026312,0.183017
0.128000,860.445775,14456.529473,4.056090,0.179902,0.025228,0.182336
0.129000,867.596586,14102.158515,4.056174,0.179574,0.024253,0.181598
0.130000,873.455603,13789.335712,4.056255,0.179202,0.023383,0.180802
0.131000,877.990285,13519.311822,4.056336,0.178777,0.022611,0.179946
