time,Ekin,Epot,Etot,temp
0.000000,3757.679694,100.827803,3858.507497,113557.891711
0.100000,18688.049720,61.727050,18749.776770,564756.897704
0.200000,36921.835257,64.831869,36986.667126,1115785.833723
0.300000,54000.799959,25.443532,54026.243490,1631915.834732
0.400000,70408.077695,66.607334,70474.685029,2127747.310625
0.500000,86088.380618,92.313643,86180.694261,2601609.450664
0.600000,103562.351243,75.129292,103637.480535,3129676.615987
0.700000,123364.851627,53.724450,123418.576077,3728112.453374
0.800000,136070.339756,106.100709,136176.440466,4112075.048045
0.900000,146492.817234,55.062496,146547.879731,4427044.567877
1.000000,164829.676887,64.429490,164894.106377,4981188.425923
1.100000,189741.183125,67.804570,189808.987695,5734019.523390
1.200000,213706.696616,50.665922,213757.362538,6458262.515757
1.300000,238158.561098,68.718901,238227.279999,7197203.140118
1.400000,257498.785670,14.257132,257513.042802,7781668.902646
1.500000,271394.477227,44.901161,271439.378389,8201599.701914
1.600000,287272.047128,60.352046,287332.399174,8681423.292617
1.700000,302455.525693,64.736711,302520.262404,9140271.293309
1.800000,321678.244052,76.575569,321754.819621,9721185.992734
1.900000,338565.711846,68.797104,338634.508950,10231528.915860
2.000000,352818.601530,76.136935,352894.738465,10662254.319604
2.100000,361389.483386,53.812881,361443.296267,10921268.219951
2.200000,377944.276599,61.852356,378006.128955,11421557.645399
2.300000,399650.388364,88.330168,399738.718532,12077521.029753
2.400000,417163.702548,59.240392,417222.942940,12606777.165909
2.500000,436541.364898,68.134657,436609.499554,13192374.306197
2.600000,458009.044294,94.081671,458103.125965,13841132.212903
2.700000,476432.252607,74.991739,476507.244346,14397885.546093
2.800000,491927.244239,75.273238,492002.517477,14866147.538919
2.900000,506225.066864,63.978949,506289.045813,15298230.825875
3.000000,526985.800558,63.419790,527049.220349,15925624.680825
3.100000,556488.413253,66.634880,556555.048132,16817200.006716
3.200000,581004.999182,55.809945,581060.809126,17558096.527175
3.300000,595684.037041,60.478510,595744.515551,18001700.220808
3.400000,608788.232306,32.687788,608820.920095,18397711.831212
3.500000,617302.238658,15.353273,617317.591931,18655006.941536
3.600000,633418.148160,61.515716,633479.663877,19142033.206466
3.700000,651510.178006,88.331960,651598.509966,19688778.254885
3.800000,669470.276753,62.659861,669532.936614,20231536.317007
3.900000,689369.476267,88.689567,689458.165834,20832894.422979
4.000000,711042.697189,62.640630,711105.337819,21487863.838981
4.100000,732344.900978,89.048302,732433.949280,22131621.037107
4.200000,750958.035299,103.378211,751061.413510,22694113.975271
