time,temperature,pressure,lattice,pos1,pos2
0.000000,4.357637,43957.555186,4.040273,0.183506,0.229229,-0.052493
0.001000,75.943079,42684.942778,4.040539,0.182255,0.227136,-0.051929
0.002000,161.287814,40873.244946,4.040793,0.180341,0.223938,-0.051067
0.003000,255.976420,38670.970000,4.041033,0.177869,0.219817,-0.049956
0.004000,356.788645,36178.523272,4.041258,0.174902,0.214876,-0.048622
0.005000,461.043288,33480.005819,4.041466,0.171483,0.209195,-0.047085
0.006000,566.436297,30649.774637,4.041657,0.167647,0.202836,-0.045361
0.007000,670.988564,27753.771431,4.041830,0.163425,0.195857,-0.043464
0.008000,773.020924,24849.360789,4.041984,0.158845,0.188308,-0.041406
0.009000,871.132564,21986.152139,4.042121,0.153932,0.180239,-0.039199
0.010000,964.177387,19207.765875,4.042240,0.148711,0.171695,-0.036853
0.011000,1051.242286,16552.984777,4.042343,0.143205,0.162720,-0.034378
0.012000,1131.626124,14055.623576,4.042431,0.137434,0.153356,-0.031782
0.013000,1204.817498,11743.425567,4.042504,0.131421,0.143643,-0.029076
0.014000,1270.474143,9646.183758,4.042564,0.125185,0.133620,-0.026266
0.015000,1328.401018,7782.705167,4.042612,0.118746,0.123323,-0.023361
0.016000,1378.527212,6169.645746,4.042651,0.112122,0.112787,-0.020368
0.017000,1420.884581,4817.768276,4.042681,0.105331,0.102047,-0.017293
0.018000,1455.586235,3728.181691,4.042704,0.098390,0.091135,-0.014143
0.019000,1482.810375,2907.615188,4.042722,0.091316,0.080081,-0.010923
0.020000,1502.790237,2353.416302,4.042736,0.084126,0.068914,-0.007639
0.021000,1515.804668,2065.077214,4.042749,0.076834,0.057663,-0.004295
0.022000,1522.169831,2044.961718,4.042762,0.069457,0.046353,-0.000896
0.023000,1522.233829,2281.338949,4.042776,0.062009,0.035011,0.002554
0.024000,1516.372570,2760.424646,4.042793,0.054504,0.023660,0.006050
0.025000,1504.986534,3479.798334,4.042815,0.046958,0.012324,0.009589
0.026000,1488.502730,4417.875455,4.042842,0.039383,0.001026,0.013167
0.027000,1467.379608,5563.285610,4.042877,0.031795,-0.010212,0.016780
0.028000,1442.109061,6898.579921,4.042920,0.024206,-0.021368,0.020426
0.029000,1413.215845,8404.667845,4.042972,0.016631,-0.032421,0.024099
